471, 8
465, 16
457, 24
450, 32
442, 40
435, 49
427, 57
421, 65
413, 73
408, 81
401, 90
396, 98
389, 106
382, 114
377, 122
371, 131
364, 140
359, 148
353, 156
348, 165
342, 174
336, 182
331, 191
324, 199
317, 207
311, 217
306, 225
300, 233
294, 242
289, 250
284, 259
280, 267
275, 276
271, 284
267, 292
264, 302
261, 310
259, 318
258, 327
257, 335
257, 344
258, 353
260, 361
263, 369
268, 378
276, 387
284, 395
293, 403
302, 412
313, 420
324, 429
337, 438
351, 446
366, 454
381, 463
401, 472
418, 480
438, 489
460, 497
480, 505
499, 515
520, 523
537, 531
555, 540
571, 548
588, 557
604, 565
620, 574
635, 582
650, 590
665, 600
680, 608
694, 616
710, 625
726, 633
741, 642
758, 651
774, 659
793, 667
810, 676
825, 685
842, 693
859, 701
874, 710
890, 718
908, 727
919, 736
929, 744
937, 752
943, 761
951, 770
955, 778
959, 787
961, 795
963, 803
965, 813
966, 821
967, 829
967, 837
968, 846
967, 855
967, 863
967, 872
966, 880
964, 888
960, 898
957, 906
947, 914
937, 923
927, 931
913, 940
899, 949
885, 957
869, 965
852, 974
836, 983
820, 991
804, 999
788, 1008
770, 1016
755, 1026
740, 1035
725, 1043
711, 1052
697, 1061
685, 1070
672, 1079
658, 1088
645, 1096
632, 1105
617, 1115
602, 1123
586, 1132
570, 1141
553, 1149
535, 1159
516, 1168
494, 1176
472, 1185
451, 1195
428, 1204
406, 1212
383, 1221
362, 1230
341, 1239
322, 1248
302, 1257
285, 1265
269, 1274
256, 1284
243, 1292
230, 1301
218, 1310
208, 1318
199, 1328
194, 1337
187, 1345
185, 1354
183, 1363
183, 1372
183, 1381
186, 1390
188, 1398
194, 1408
201, 1417
209, 1425
221, 1434
232, 1443
243, 1452
256, 1461
268, 1470
281, 1478
294, 1487
308, 1497
320, 1505
331, 1514
343, 1523
355, 1531
366, 1541
379, 1550
390, 1558
401, 1567
410, 1576
421, 1585
432, 1594
442, 1603
455, 1611
465, 1620
475, 1630
486, 1638
498, 1647
509, 1656
522, 1665
536, 1674
552, 1683
569, 1691
586, 1700
602, 1710
633, 1727
646, 1736
661, 1744
675, 1754
687, 1763
700, 1771
714, 1780
726, 1789
736, 1798
747, 1807
756, 1816
764, 1824
770, 1833
778, 1843
786, 1851
795, 1860
803, 1869
805, 1878
811, 1887
814, 1896
819, 1904
822, 1913
826, 1923
827, 1931
828, 1940
828, 1949
828, 1957
828, 1967
828, 1976
826, 1984
825, 1993
822, 2002
819, 2011
815, 2020
810, 2029
802, 2037
794, 2046
783, 2056
770, 2064
759, 2073
747, 2082
732, 2091
717, 2100
700, 2109
683, 2117
665, 2126
648, 2136
630, 2144
613, 2153
595, 2162
580, 2171
563, 2180
548, 2189
533, 2198
517, 2206
503, 2215
487, 2225
472, 2233
458, 2242
443, 2251
428, 2259
416, 2269
401, 2278
388, 2286
374, 2295
360, 2305
344, 2313
327, 2322
309, 2331
288, 2339
268, 2349
247, 2358
228, 2366
209, 2375
192, 2384
175, 2393
159, 2402
143, 2411
128, 2419
115, 2428
106, 2438
99, 2446
96, 2454
96, 2463
96, 2471
100, 2481
110, 2489
121, 2498
134, 2507
151, 2515
166, 2525
184, 2534
201, 2542
214, 2551
228, 2561
240, 2569
251, 2578
262, 2587
276, 2595
289, 2605
305, 2614
320, 2622
333, 2631
347, 2640
